summary_level,include_stage_directions,play_id,play_title,section,act,scene,scene_index_in_play,num_units,num_sentences,num_words_modern,num_stage_directions,vader_mean,vader_median,dl_mean,dl_median,vader_std,dl_std
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,4,1,26,3,12,178,0,-0.32223,-0.3567,-0.05109,0.06795,0.22044,0.38867
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,4,2,27,18,46,494,0,0.14226,0.063,0.11767,0.20402,0.38342,0.42597
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,4,3,28,25,44,243,0,0.10746,0.0,0.08101,0.01812,0.25528,0.30481
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,4,4,29,19,45,400,0,0.1817,0.1779,0.22692,0.28031,0.40355,0.37447
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,4,5,30,11,21,184,0,0.09488,0.0,-0.02831,-0.01009,0.30802,0.37389
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,4,6,31,10,27,360,0,0.10164,0.0,0.06623,0.03013,0.5253,0.39533
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,4,7,32,10,16,156,0,0.22204,0.0,0.03844,-0.17867,0.3347,0.43144
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,4,8,33,8,27,422,0,0.32901,0.4939,0.22661,0.21934,0.51189,0.38654
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,4,9,34,19,34,310,0,-0.1778,0.0,-0.03504,0.03412,0.30587,0.42996
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,4,10,35,3,8,94,0,-0.18866,-0.11175,-0.08691,-0.03312,0.24553,0.19908
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,4,11,36,1,2,42,0,0.2519,0.2519,-0.18726,-0.18726,0.54447,0.52345
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,4,12,37,8,36,527,0,-0.15088,-0.10565,0.08087,0.02409,0.45854,0.43194
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,4,13,38,3,9,125,0,-0.37416,-0.5984,0.11992,0.33739,0.42676,0.48308
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,4,14,39,60,135,1475,0,0.00897,0.0,0.04783,0.02905,0.44055,0.44858
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,4,15,40,30,101,947,0,0.10192,0.0,0.02991,0.00175,0.45491,0.4911
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,5,1,41,24,57,664,0,0.0501,0.0,-0.01712,-0.02543,0.41605,0.37859
scene,false,antony-and-cleopatra,Antony and Cleopatra,main,5,2,42,140,343,3749,0,0.07494,0.0,0.06563,0.03987,0.40321,0.42637
play,false,as-you-like-it,As You Like It,,,,,821,1817,23500,0,0.13225,0.0,-0.04648,-0.02636,0.42605,0.38985
act,false,as-you-like-it,As You Like It,main,1,,,202,441,5054,0,0.11991,0.0,-0.07249,-0.03143,0.40295,0.38897
